"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Jak se zbavit puchytila","Anonymous",0,"Reflection","2025-02-20T22:00:45.596Z","","What went well 😄","Jak se zbavit puchytila? "
"Jaka je budoucnost Evropy?","Anonymous",0,"Reflection","2025-02-20T19:53:41.529Z","","What didn't go well 😞","Jaka je budoucnost Evropy? Proč jsme bezvýznamní v podstatě v každém odvětví? Nemáme obranu, nemáme export, nemáme jednotu. Ale hlavně že máme regulace a byrokracii. Nebyla ta facka od Ameriky už vlastně potřeba? "
"Kajty","Anonymous",0,"Reflection","2025-02-20T14:28:05.468Z","","What went well 😄","Kajty se Štěpánem jonebone"
"Tak","Anonymous",0,"Reflection","2025-02-20T00:22:40.698Z","","What didn't go well 😞","Tak jak to je chlapi s těma fotkama a videama?"
"Padelový byznys aneb dvě a","Anonymous",0,"Reflection","2025-02-19T18:44:18.787Z","","What didn't go well 😞","Padelový byznys aneb dvě a půl hodiny v Karlíně. "
"Školy jsou k ničemu nahradí","Anonymous",0,"Reflection","2025-02-19T12:53:46.999Z","","What didn't go well 😞","Školy jsou k ničemu nahradí je LLM. Change my mind.

Neměli bychom chodit na VŠ, ale zkusit podnikat a trhnout to."
"The economist vyhlásil","Anonymous",0,"Reflection","2025-02-19T12:52:27.131Z","","What went well 😄","The economist vyhlásil Španělsko jako nejzajímavější ekonomiku 2024.

Nezaměstnanost mladých z 50 procent na 30, nove start up zákony. 

(zdroj: ceska startup asociace)"
"Harassment test v TruU.","Anonymous",0,"Reflection","2025-02-19T12:04:06.771Z","","What went well 😄","Harassment test v TruU.

Neznam tolik historii spolecnosti, ale CEO nekolikrat uz upozornoval na to ze nebude tolerovat zadny dehonestaci smerem k zenam."
"Startup","Anonymous",0,"Reflection","2025-02-16T19:17:48.685Z","","What went well 😄","evropský startup?"
"Evropa je kurva dobrá, nejlepš","Anonymous",0,"Reflection","2025-02-16T19:15:34.200Z","","What went well 😄","Evropa je kurva dobrá, nejlepší kultura, lidi, místo k životu, amerika nesahá ani po kotníky, přesto si vyskakuje, je na čase přestat dotovat americký hovnofirmy, který podlézaj diktátorům a přejmenují klidně i mexický záliv, je mi z toho zle"
"Rock for people na Valentýna","Anonymous",0,"Reflection","2025-02-14T20:12:06.510Z","","What went well 😄","Rock for people na Valentýna dal fotku lidí s LGBT vlajkou s spustila se vlna nenávisti.. neměli by stejně hejtit gay people fotky, kde se vykusujou heteráci? Proč homofobním lidem nedochází, že jsou homofobní a že to není správná cesta? 😂"
"Měl jsem v dami zmražených","Anonymous",0,"Reflection","2025-02-14T15:05:14.129Z","","What went well 😄","Měl jsem v dami zmražených 1500 v monitoru, který jsem si nemohl odkoupit. Stačilo aby se Dami v HK rozpadlo a začali rozprodávat elektroniku, takže jsem za dalších 3K koupil monitor v hodně 15k ❤️ 

Satisfakce.."
"Co kdybyste se dozvěděli, že","Anonymous",0,"Reflection","2025-02-13T22:16:14.964Z","","What went well 😄","Co kdybyste se dozvěděli, že všechny peníze, které si u zaměstnavatele vyděláte je jen pračka špinavých peněz? Opustili byste své teplé místečko s hromadou peněz, když by to bylo too much shady? 🤔 
"
