"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Google play console. Nový","Anonymous",0,"Reflection","2024-09-17T08:09:25.990Z","","What didn't go well 😞","Google play console. Nový rekord v počtu dní na kontrole appky. Tohle píšu 4. den, tak jsem zvědav za jak dlouho mi vydají appku ven.

Ironie je, že jsem čekal 3 týdny než Michal konečně vydá iOS abychom to poslali společně. Přičemž tímto iOS vyšlo dřív protože to bylo na review 3 dny 😂"
"Několik desítek procent věří","Anonymous",0,"Reflection","2024-09-29T13:30:50.690Z","","What didn't go well 😞","Několik desítek procent věří v to, že bůh zachránil Trumpa před úmrtím protože je spasitelem Ameriky. Propaganda se v tomto duchu rozjela natolik, že strhává další a další lidi.

Měli bychom si brát USA jako příklad, když to jsou stále pánbíčkáři? 🤔"
"nový projekt,","Anonymous",0,"Reflection","2024-10-11T16:58:07.366Z","","What went well 😄","nový projekt, srdcovka"
"Cítíte se v Evropě bezpečně?","Anonymous",0,"Reflection","2024-10-11T16:57:12.839Z","","What didn't go well 😞","Cítíte se v Evropě bezpečně? Může se zopakovat 2sv válka? v Německu i Francii se daří už taky populistum ve volbách "
"Fízlové mají málo peněz, tak","Anonymous",0,"Reflection","2024-10-11T16:08:08.418Z","","What didn't go well 😞","Fízlové mají málo peněz, tak dávají pěšákům málo peněz, tak to nikdo nechce dělat, takže snižují podmínky pro vstup, takže tam může dělat člověk bez maturity , takže na školení ani nezvládne na PC zadat adresu do adresního řádku ... A tohle má mít zbroják a respektovat nějaká základní práva lidi 👍"
"Je nedostatek dětských","Anonymous",0,"Reflection","2024-10-10T10:25:33.378Z","","What didn't go well 😞","Je nedostatek dětských psychologů. Teenageři mají deprese a páchají sebevraždy. Mimo ty hlavní aspekty tahle generace poslouchá Český rap, který když v posilce hraje, chci si vzít život taky. Tahle hudba jim nepomáhá. Change my mind. Konkrétně: Calin - Safír. Na podporu mého argumentu když vznikl hiphop, tak negři začali dělat problém v NYC. The great blackout 2."
"výhoda stárnutí: na běžné","Anonymous",0,"Reflection","2024-10-04T09:20:06.688Z","","What went well 😄","výhoda stárnutí: na běžné pozice se dostávají lidi našeho věku a boomeři odchází... najednou není problém mít k doktorovi/účetní/we rezervaci a zaplatit online ... anebo normálně komunikovat jako lidi"
"Lean october. Spálené kalorie","Anonymous",0,"Reflection","2024-10-01T09:44:22.140Z","","What went well 😄","Lean october. Spálené kalorie ponechány fitbitu. Jak jsem skutečně jedl, jaký byl reálný deficit?




Přidává fitbit nějaké kalorie navíc?

Kolik jsem ušetřil peněz bez kupování monstrů, alkoholů a píčovin?

O kolik klesla tepovka a zlepšil se spánek?

Zhubl jsem i přestože jsem v dietce měl párečky k snídani? 🌭"
"Nějaké realistické zkušenosti","Anonymous",0,"Reflection","2024-09-29T00:00:27.374Z","","What went well 😄","Nějaké realistické zkušenosti se smart homy? Jaké jsou možnosti? Stojí to za to? Nějaká rozumná open source řešení? Co bezpečnost?"
"Víte proč místo ""monkey pox""","Anonymous",0,"Reflection","2024-09-28T17:39:10.236Z","","What didn't go well 😞","Víte proč místo ""monkey pox"" v BBC říkají ""m-pox""? Že by souvis s kontinentem, kde se opičí neštovice vyskytují nejvíc? 🤔"
"Je pravda, že když na","Anonymous",0,"Reflection","2024-09-28T17:37:07.547Z","","What didn't go well 😞","Je pravda, že když na tříproudé dálnici v osobním autě vjedete do pravého pruhu tak dostanete instantně rakovinu? Protože očividně si to mnoho řidičů myslí..."
"Měli bysme sepsat historii,","Anonymous",0,"Reflection","2024-09-28T15:45:16.654Z","","What went well 😄","Měli bysme sepsat historii, jak vzniklo retro. Jednou to bude velmi nostalgický materiál."
"Poslední dny bylo hodně","Anonymous",0,"Reflection","2024-09-27T05:37:55.687Z","","What went well 😄","Poslední dny bylo hodně ježdění autem - cesta Rakouskem a Itálií. Všude jsem si dával bacha na pokuty. A najednou jsem v horách a volá mi pošťák a kde sem dopiči. A že mi to teda nechá na poště 😱

To mě teda nenechalo klidným, protože mi v mezidobě asi 5 lidí říkalo o pokutách z Rakouska a Itálie. No a teď se mi to úplně nehodí.

Na poště byl balíček z aliexpres 😂 Náramek na hodinky za 20 korun mě vyděsil mega moc."
"Byl","Anonymous",0,"Reflection","2024-09-23T19:41:23.318Z","","What went well 😄","Byl Steve Ballmer na kokainu? https://youtu.be/_WW2JWIv6G8?si=dTqA-hHMZZgtV5Si"
"TrenMaya. Vlaky na východě","Anonymous",0,"Reflection","2024-09-23T13:23:15.066Z","","What didn't go well 😞","TrenMaya. Vlaky na východě Mexika, které ušetří 2/3 času při cestování po památkách. Je to kontroverzní projekt, ale co je kontroverznější je to, že některé z linek/vlaků jsou dieselové 😀

Má to smysl?"
"Dve entity, TrueU a Broker","Anonymous",0,"Reflection","2024-09-21T15:05:12.264Z","","What went well 😄","Dve entity, TrueU a Broker consulting. Popisu vám je. A rád bych si vyslechl co je podle vás lepší deal. "
"Duolingo funguje","Anonymous",0,"Reflection","2024-09-19T19:08:19.728Z","","What went well 😄","Duolingo funguje."
"Plavky Anusu","Anonymous",0,"Reflection","2024-09-19T19:07:35.262Z","","What went well 😄","Plavky zařízlý do anusu. Je to dostatečná kompenzace za plandavý kalhoty?"
"Blikání na kruhaku doleva.","Anonymous",0,"Reflection","2024-09-19T19:05:49.032Z","","What went well 😄","Blikání na kruhaku doleva. Možná jsem změnil názor."
"Nové auto s manuálem a","Anonymous",0,"Reflection","2024-09-19T19:05:08.571Z","","What went well 😄","Nové auto s manuálem a neadaptivnim tempomatem? Proč to existuje?"
"Kuba místo toho aby","Anonymous",0,"Reflection","2024-09-19T19:03:42.299Z","","What didn't go well 😞","Kuba místo toho aby podporoval komunisty a Babiše radši letěl ze Španělska a zabíjel želvy. Ok nebo not ok?"
