"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Jsem byty prodal","Anonymous",0,"Reflection","2025-03-19T22:08:01.222Z","","What went well 😄","jak jsem za den 2 byty prodal"
"Jsme bojkotem značek?","Anonymous",0,"Reflection","2025-03-19T10:48:30.476Z","","What went well 😄","Jak jsme na tom s bojkotem US značek? 🙏  Máte nějaký guilty pleasures, které zbývají?"
"Psáno afektu: proč","Anonymous",0,"Reflection","2025-03-13T10:03:24.114Z","","What didn't go well 😞","Psáno v afektu: Proč mají někteří z nás pořád potřebu veřejně mluvit o investicích do nemovitostí, ale když jim někdo řekne že je Praha špatná a cesta je jinde, tak jen kopají kolem sebe 🤔 "
"Domlouvání retra je čím dál","Anonymous",0,"Reflection","2025-03-11T10:54:48.427Z","","What didn't go well 😞","Domlouvání retra je čím dál tím složitější. Z 90% to blokuje Praha. Tedy měli bychom určit pražského správce, který to za tým Pha vykomunikuje a rovnou nabídne termíny pro ostatní."
"Hypotéka airbank. naslibují","Anonymous",0,"Reflection","2025-03-11T10:02:45.243Z","","What went well 😄","Hypotéka u AirBank. Naslibují hory doly a nakonec je z toho skoro stejná částka, ale chtějí větší pojištění a doplatit část jistiny atd. atd. Takže se to vůbec nevyplatí 😞 Tedy hypo u Erste je v podstatě srovnatelné.

EDIT: Psáno v afektu a věci se změnily 🤗 "
"Kolik válek vyvolaly","Anonymous",0,"Reflection","2025-03-11T08:40:03.298Z","","What didn't go well 😞","Kolik válek vyvolaly ženy? 🤔 Myslím, že je na čase se vzdát vedení a předat mužskou štafetu ženám. Change my mind."
"Siesta je dobrá","Anonymous",0,"Reflection","2025-03-10T11:15:41.098Z","","What went well 😄","Siesta je dobrá věc."
"Nutno říct, že když v","Anonymous",0,"Reflection","2025-03-05T11:06:41.909Z","","What went well 😄","Nutno říct, že když v Inženýrech není ani trochu toxicity, tak je to nuda. Pojďme najít zlatý střed objektivního trashtalku 🙏 "
"Stalo posledního retra","Anonymous",0,"Reflection","2025-03-04T07:49:03.671Z","","What didn't go well 😞","Co se to stalo od posledního retra ve světové politice? Jsem zděšen. 😱 "
"2,5 hodiny parkování v","Anonymous",0,"Reflection","2025-02-28T18:11:18.785Z","","What didn't go well 😞","2,5 hodiny parkování v Karlíně za 450 🥹 Je to dobře nebo špatně? Jak se to líbí Dušanovi?"
