"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"posun 8 hodin na zaápad nenií","Anonymous",0,"Reflection","2024-02-09T09:26:49.838Z","","What didn't go well 😞","posun 8 hodin na zaápad nenií uúplně uideální na praáci do cČR . Jsou tools ktereé hledajií pruůnik pracovniích hodin "
"Odmítnul jsem 9K/MD... chytrý","Anonymous",0,"Reflection","2024-02-09T17:29:45.554Z","","What didn't go well 😞","Odmítnul jsem 9K/MD... chytrý kariérní krok nebo cesta do žebroty?"
"Teď mluvte","Anonymous",0,"Reflection","2024-02-09T17:28:41.602Z","","What went well 😄","20 kg na mrtvole, teď mluvte"
"Jak šlo Kubovi první kardio","Anonymous",0,"Reflection","2024-02-09T17:28:21.333Z","","What went well 😄","Jak šlo Kubovi první kardio za tento rok?"
"Vím, že McDonalds snídaně je","Anonymous",0,"Reflection","2024-02-09T17:28:03.463Z","","What went well 😄","Vím, že McDonalds snídaně je all the rage, ale KFC snídaně je teda v topísku"
"Dami je zase stabilní.","Anonymous",0,"Reflection","2024-02-09T17:26:34.734Z","","What went well 😄","Dami je zase stabilní. Harmonelo project happy."
"Jaktože Francouzi všichni","Anonymous",0,"Reflection","2024-02-06T20:35:27.482Z","","What didn't go well 😞","Jaktože Francouzi všichni všude pijí červený víno a v Česku se drtivě pije bílý? Podle mě je to stylem ""k tomu se musíš propít"" - všichni známí a rodiče to pijí a tak to pijí i potomci/pitomci.. Change my mind 🥲"
"Co by řekl Dušan na požadavky","Anonymous",0,"Reflection","2024-02-09T17:06:02.653Z","","What didn't go well 😞","Co by řekl Dušan na požadavky na API od Čerňase? Jak je na tom iOS verze Univerzity? 🍎"
"Kellerovy narozeniny..

Stalo","Anonymous",0,"Reflection","2024-02-09T17:05:35.512Z","","What went well 😄","Kellerovy narozeniny..




Stalo se něco zajímavého?

Byl Dančák divnej?

Choval se Keller jak kok, když byl pod dohledem?




🤔"
"První rok po dlouhé době bez","Anonymous",0,"Reflection","2024-02-02T19:41:29.463Z","","What went well 😄","První rok po dlouhé době bez školy, bez dvou prací apod...

Nebude mi to chybět - bude Uni a Svatebka stačit, aby mě to zabavilo? 🤔"
"Non USB-C proprietární","Anonymous",0,"Reflection","2024-02-02T19:39:26.720Z","","What didn't go well 😞","Non USB-C proprietární magnetická nabíječka na Mac Pro je totální sračka..

Když by všechno mělo C, mohu si s sebou na dovolenou vzít jeden USB-C kabel a jeden USB-C adaptér..

K čemu mi je vymrdaný magnetický sráč, když si tím nabiju jen maca? 😠

(Ano MacPro se nabíjí céčkem, ale proč tam vůbec vrátili tuhle otřesnou věc?)"
"Kdy že se to Dušan vlastně","Anonymous",0,"Reflection","2024-02-02T19:28:22.355Z","","What didn't go well 😞","Kdy že se to Dušan vlastně vrací?

Nenaplánujem rovnou nějaké Lysé grilování? 🥩 🍻"
"Jak řešíte krize?
Přijde vám,","Anonymous",0,"Reflection","2024-02-02T19:25:04.105Z","","What didn't go well 😞","Jak řešíte krize?

Přijde vám, že už je váš život naplněn? Co dělat pro to, aby se člověk nezabil kvůli tomu, že ztrácí sílu a progress se logaritmicky utlumuje? 🤔

A proč pomůže být #neverSatisfied ?"
"Jaké marže mají autoservisy","Anonymous",0,"Reflection","2024-02-09T18:09:05.667Z","","What went well 😄","Jaké marže mají autoservisy na náhradní díly?"
"Máte někdo srnku kterou by","Anonymous",0,"Reflection","2024-02-09T18:09:41.166Z","","What went well 😄","Máte někdo srnku kterou by Matěj mohl srazit Passatem"
"Lyžovačka ve Francii","Anonymous",0,"Reflection","2024-02-02T19:23:31.720Z","","What went well 😄","Lyžovačka ve Francii 🤔

Nabízí se pokračovat v hejtu na tuto zemi, ale co když se v Alpách s místními a sněhem tato země přeci jen zalíbí?

Jak to dopadlo?"
"Jak se Matějovi líbí nové","Anonymous",0,"Reflection","2024-02-09T18:08:42.610Z","","What went well 😄","Jak se Matějovi líbí nové auto"
