"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Kuba jeho nové","Anonymous",0,"Reflection","2025-07-04T16:20:56.994Z","","What went well 😄","Kuba a jeho nové prciny?"
"Nějak pořád leží","Anonymous",0,"Reflection","2025-07-04T16:20:41.294Z","","What didn't go well 😞","Nějak mi pořád leží v hlavě, že mě Matěj nazval homofobem. Jsem tak spatnej?"
"Doporučuji nechodit doktorům","Anonymous",0,"Reflection","2025-07-04T15:38:33.702Z","","What didn't go well 😞","doporučuji nechodit k doktorům"
"Proč nosit hotovost","Anonymous",0,"Reflection","2025-07-04T14:42:01.413Z","","What went well 😄","Proč nosit hotovost - aneb cvakem si při blackoutu pivo ve večerce nekoupíš"
"Java dala artrózu","Anonymous",0,"Reflection","2025-06-16T07:23:44.396Z","","What didn't go well 😞","Jak mi Java dala artrózu 💀 "
"Když budete používat","Anonymous",0,"Reflection","2025-06-27T14:51:20.944Z","","What didn't go well 😞","Když budete používat AI příliš často, zakrní vám mozek. Schopnost hledat řešení se prokazatelně vytrácí. Tak možná občas zkuste zase programovat sami abyste potrénovali myslítko 🥰"
"Další nesmyslné nařízení","Anonymous",0,"Reflection","2025-07-04T07:31:47.092Z","","What didn't go well 😞","Další nesmyslné nařízení EU s povinnými cabin zavazadly.

Akorát nám to zdraží letenky ve výsledku. A i nařízené velikosti jsou menší než průměrně byly."
"Vadí kubovi, jsme","Anonymous",0,"Reflection","2025-06-16T11:21:20.703Z","","What went well 😄","Vadí Kubovi, že jsme často 3 s Pajulí, když ji všude tahám s sebou?"
"Děje univerzita.app?","Anonymous",0,"Reflection","2025-06-24T12:01:31.642Z","","What didn't go well 😞","Co se děje s Univerzita.app? 😱 "
"Middle income trap","Anonymous",0,"Reflection","2025-06-26T11:14:26.512Z","","What didn't go well 😞","Middle income trap nepostihuje jen celé státy"
"Jsem mhd. minut","Anonymous",0,"Reflection","2025-06-25T16:11:14.034Z","","What didn't go well 😞","Jel jsem MHD. Za 15 minut jízdy jsem se zpotil jak v sauně. Jak to má teda člověk používat?

"
"Dneska banky hands","Anonymous",0,"Reflection","2025-06-25T16:10:21.020Z","","What went well 😄","Dneska HR banky v All hands prezentaci vyzdvihovala, že poměr žen k mužům je 60:40. Už chápu proč tam děláte 😏"
"Neházejte odpad směsi.","Anonymous",0,"Reflection","2025-06-26T06:23:14.086Z","","What didn't go well 😞","Neházejte BIO odpad do směsi. Je to větší problém, než si myslíme.
Únik metanu ze skládek do atmosféry je nejen mrhání energií, ale hlavně otepluje atmosféru jako skleníkový plyn. ⚠️ "
"Nejposlednější podvod, který","Anonymous",0,"Reflection","2025-07-01T14:17:07.391Z","","What went well 😄","Nejposlednější podvod, který jsem zažil na Bazoši. Napsal jsem útočníkovi, že to je fakt dobrý ❤️ "
"Proběhla žádost 000,-","Anonymous",0,"Reflection","2025-06-19T10:07:43.706Z","","What went well 😄","Jak proběhla žádost o 1 070 000,- od státu? 🤔 "
"Konsolidace půjček airbank.","Anonymous",0,"Reflection","2025-06-07T10:41:40.560Z","","What went well 😄","Konsolidace půjček v AirBank. Super věc. Auto už je moje ❤️ a navíc 800k na rekonstrukci. Splátka je přitom stejná jako byla 🤗 😂"
"Internetu videa sestřih","Anonymous",0,"Reflection","2025-06-07T10:41:31.985Z","","What didn't go well 😞","Na internetu videa sestřih jak gudas vloni škrtil usa hráče. Popisek letos chyběl gudy. Češi v komentáři: yess haha jono dokotop.. dopiče co je tak super na tom že se někdo chová násilně. To se vztahuje i na MMA. Dafak se to někomu líbí? Zvrácenost"
"Apokalyps kecama vytřete","Anonymous",0,"Reflection","2025-06-07T10:41:24.524Z","","What didn't go well 😞","Už si pls s apokalyps AI kecama vytřete prdel.. jste fanatici."
"Myslíte, bude stát","Anonymous",0,"Reflection","2025-06-11T13:25:05.948Z","","What didn't go well 😞","Jak myslíte, že bude stát přidělovat povolení k pobytu Ukrajincům po válce?"
"Jaké bydlení tchána","Anonymous",0,"Reflection","2025-06-09T11:22:20.315Z","","What didn't go well 😞","Jaké je bydlení u tchána a tchyně? 🤔 "
