"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Není lepší být","Anonymous",0,"Reflection","2024-08-30T17:27:47.106Z","","What didn't go well 😞","Není lepší být lopata?"
"Je Telegram","Anonymous",0,"Reflection","2024-08-30T17:00:45.316Z","","What didn't go well 😞","Je Telegram zlo?"
"Warning Deep talk","Anonymous",0,"Reflection","2024-08-30T17:00:35.593Z","","What went well 😄","⚠️ DEEP TALK WARNING ⚠️"
"Latta.ai Ai hledač bugů. Ale","Anonymous",0,"Reflection","2024-08-30T14:00:51.412Z","","What didn't go well 😞","Latta.ai Ai hledač bugů. Ale vezme si váš code base. Šli by jste do toho?"
"Dan se vrací do Čech, možná","Anonymous",0,"Reflection","2024-08-30T10:57:45.236Z","","What didn't go well 😞","Dan se vrací do Čech, možná do Prahy, možná do Brna"
"Je 5€/hod nebo 15€ za den už","Anonymous",0,"Reflection","2024-08-30T10:37:07.454Z","","What didn't go well 😞","Je 5€/hod nebo 15€ za den už moc za parkování v Tatrách? Nebo 8€ za psa na lanovku když dospělý stoji 16€ a dítě je zadarmo? Nemám problém zaplatit ale vemínko mě být úplně nebaví"
"IGL v Rakousku. Pokuty v řádu","Anonymous",0,"Reflection","2024-08-30T10:34:54.281Z","","What didn't go well 😞","IGL v Rakousku. Pokuty v řádu 1000 eur. Je to moderní eko fašismus? Co si o tom myslíte?"
"Neoptimalizuje Petr hodinovku","Anonymous",0,"Reflection","2024-08-30T09:49:44.245Z","","What didn't go well 😞","Neoptimalizuje Petr hodinovku moc? Neměl by více pracovat aby neměl tolik času koukat na parabol a posílat běžce stepní? 🤔"
"Když si koupíš Enyaqa, ale","Anonymous",0,"Reflection","2024-08-30T09:15:57.407Z","","What went well 😄","Když si koupíš Enyaqa, ale pak musíš šetřit baterku tím, že nepouštíš klimu."
"Zatkli šéfa telegramu za to,","Anonymous",0,"Reflection","2024-08-30T06:19:35.111Z","","What went well 😄","Zatkli šéfa telegramu za to, že málo cenzuruje."
"Dnes paní na benzině už","Anonymous",0,"Reflection","2024-08-30T05:42:23.997Z","","What went well 😄","Dnes paní na benzině už věděla jakou omáčku chci do párečku. Proč tomu tak je? Chodím tam moc často, nebo se k lidem chovám hezky, čímž jsem výjimka a proto si mě pamatuji?"
"Bit","Anonymous",0,"Reflection","2024-08-29T19:59:19.346Z","","What went well 😄","Little bit DEEPer: (not your mom) Jste stastni?"
"Plavba na jachtě na moři je","Anonymous",0,"Reflection","2024-08-29T19:54:12.810Z","","What went well 😄","Plavba na jachtě na moři je vážně super. Přemýšlím o kapitánských zkouškách. Dali by jste si taky?"
"Byli jste někdy v Dolomitech?","Anonymous",0,"Reflection","2024-08-29T19:55:39.374Z","","What went well 😄","Byli jste někdy v Dolomitech? Já myslel, že to je strašně fancy drahej mainstream shit, ale bomba. Vyrazilo mi to dech. Ferraty super. Doporučuji."
"Co říkáme na Liberec so far?","Anonymous",0,"Reflection","2024-08-28T22:04:49.644Z","","What went well 😄","Co říkáme na Liberec so far? 🤯 Jsem pojedeme příště?"
"Jak si Matěj vedl s úkoly v","Anonymous",0,"Reflection","2024-08-28T22:02:53.878Z","","What went well 😄","Jak si Matěj vedl s úkoly v appce? Jak moc kazila spirit post rozlučky? 😂"
"Michal Černý opět využívá","Anonymous",0,"Reflection","2024-08-23T14:58:54.540Z","","What didn't go well 😞","Michal Černý opět využívá kontaktů a situací, ke kterým přišel jak slepý k houslím a propojil Míru s Fraňkem od Mikýře. Takže se možná AppBlock objeví v dalším z Mikýřových videí jako reklama 😂

Vlastně ta zpráva není nijak disturbing, ale přišlo mi to hrozně Michalovský a Mírovský a tak jsem to tady chtěl nadhodit, jestli si do toho můžeme rýpnout nebo ne. 🤔"
"Dovolená skončila. V Airbance","Anonymous",0,"Reflection","2024-08-23T13:30:23.754Z","","What didn't go well 😞","Dovolená skončila. V Airbance už je potřeba pracovat. Půl appky se bude upravovat kvůli novému chytrému přehledu. Zvažte to, jestli byste v takové firmě chtěli pracovat. Jo a ještě mi srazí plat na 4K / MD. 😞"
"Bend 😊 nejlepší appka za","Anonymous",0,"Reflection","2024-08-22T05:03:06.692Z","","What went well 😄","Bend 😊 nejlepší appka za kterou jsem kdy utratil peníze. Stretčink: výběr dle oblasti, času, úrovně. Už po týdnu jsem vyřešil občas se vracející issuesky s ramenem a trapézy."
"S Vladaname byla vetsi zabava","Anonymous",0,"Reflection","2024-08-21T14:20:28.897Z","","What went well 😄","S Vladaname byla vetsi zabava kdyz nepracoval."
"Kdy dát podniku špatnou","Anonymous",0,"Reflection","2024-08-21T07:11:27.703Z","","What didn't go well 😞","Kdy dát podniku špatnou recenzi? Není srabáctví nic neříct ale psát to pak na internet?"
"Podprsenky s kosticemi jsou","Anonymous",0,"Reflection","2024-08-20T16:39:32.245Z","","What went well 😄","Podprsenky s kosticemi jsou pro boomery. Mladí chodí na Evu od pasu nahoru. Jak to vnímáte? Za mě dobrý, ale je tam velké ALE protože teď chodí bez podprsenky i ženy, které by neměly. Jo, je to blbý to takhle říct, ale taky nechodím v croptopu když nemám formu, ne?"
"Jak se Dušanovi líbilo na","Anonymous",0,"Reflection","2024-08-18T15:42:19.410Z","","What didn't go well 😞","Jak se Dušanovi líbilo na plánu A s koněm na plachetnici na plavbě snů?"
"Jak si Standing desk","Anonymous",0,"Reflection","2024-08-17T10:25:09.453Z","","What went well 😄","Jak si Kuba užívá standing desk? 😍"
"Tlak na úspěch. Nemoc dnešní","Anonymous",0,"Reflection","2024-08-16T09:37:18.930Z","","What went well 😄","Tlak na úspěch. Nemoc dnešní doby. Ovlivňuje všechny v dobrém i špatném slova smyslu. Mnoho lidí to neunesou a mají depresi. Jak to máte vy? 😔"
"Matěj už není svobodný. Musí","Anonymous",0,"Reflection","2024-08-16T09:38:04.151Z","","What went well 😄","Matěj už není svobodný. Musí přijít standartní otázka: tak jaký to je být ženatý? 😂"
"V Dami napsali článek na","Anonymous",0,"Reflection","2024-08-16T05:33:23.971Z","","What didn't go well 😞","V Dami napsali článek na téma: jak získat dotace na digitalizaci podniku. Je to návrh pro klienty aby pro Dami měli prachy nebo samo Dami jako IT firma potřebovala digitalizaci aka nejsou klienti, sežeň dotaci? ⛔"
"Neoptimalizuje Petr hodinovku","Petr Weissar",0,"Task","2024-08-30T19:06:32.110Z","Ne","","Ne"
