"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Další důvod nejezdil na fosyl: přes 50% ropy dovážené do ČR je z Ruska.","Anonymous",0,"Reflection","2024-12-26T20:24:15.710Z","","What didn't go well 😞","Další důvod nejezdil na fosyl: přes 50% ropy dovážené do ČR je z Ruska."
"Jednou si necháš udělat tažný","Anonymous",0,"Reflection","2025-01-13T06:08:49.415Z","","What went well 😄","Jednou si necháš udělat tažný a odteď kdykoliv jedu na garanční servis zdarma, tak mi vyčistí auto. K tomu jsem dostal osobního poradce. Jak snadno lze postoupit v kastě."
"Nový Enyaq. Top design, dojezd téměř 600km. Luxusní záležitost. Z 0na100 6 vteřin. Nejaerodynamičtější škodovka ever. Recyklované plasty.
Už jste si ho objednali? 🤔","Anonymous",0,"Reflection","2025-01-08T21:52:09.684Z","","What went well 😄","Nový Enyaq. Top design, dojezd téměř 600km. Luxusní záležitost. Z 0na100 6 vteřin. Nejaerodynamičtější škodovka ever. Recyklované plasty.

Už jste si ho objednali? 🤔"
"Dostal jsem poukaz na","Anonymous",0,"Reflection","2025-01-25T16:32:13.839Z","","What went well 😄","Dostal jsem poukaz na zážitky. Nějaký nápad? Respektive slyšeli jste o něčem zajímavém v poslední době? Já přemýšlím o nějakém super sportu. "
"Výrobna hurikánů","Anonymous",0,"Reflection","2025-01-25T16:27:16.695Z","","What went well 😄","Výrobna hurikánů"
"Dino na baru a na kurtu","Anonymous",0,"Reflection","2025-01-25T16:26:17.575Z","","What went well 😄","Dino na baru a na kurtu"
"Kuba dostal zcákáno","Anonymous",0,"Reflection","2025-01-25T16:25:49.991Z","","What didn't go well 😞","Kuba dostal zcákáno"
"Dušan v Praze.. kde je","Anonymous",0,"Reflection","2025-01-25T09:57:01.807Z","","What didn't go well 😞","Dušan v Praze.. kde je problém? "
"Rekonstrukce Bytu","Anonymous",0,"Reflection","2025-01-25T09:54:31.289Z","","What didn't go well 😞","Rekonstrukce bytu jonebone? "
"Je adekvátní kupovat něco co","Anonymous",0,"Reflection","2025-01-25T09:38:03.789Z","","What didn't go well 😞","Je adekvátní kupovat něco co není ani na mapě?"
"Šli by jste za svou zemi na","Anonymous",0,"Reflection","2025-01-25T09:32:08.481Z","","What didn't go well 😞","Šli by jste za svou zemi na frontu? A proč ano Petře?"
"Wtf","Anonymous",0,"Reflection","2025-01-23T09:15:09.585Z","","What didn't go well 😞","Wtf is Moira? Polish brand?"
"Dost často se konfrontujeme","Anonymous",0,"Reflection","2025-01-22T09:46:26.962Z","","What didn't go well 😞","Dost často se konfrontujeme kvůli politice. Proč vůbec se o politice bavíme? A proč to je nebo není potřeba?"
"Byli jsme na Kanárech a opět","Anonymous",0,"Reflection","2025-01-22T09:43:46.146Z","","What went well 😄","Byli jsme na Kanárech a opět to byl super recharge a vypnutí od české zimy a inverze. Přidá se příští Silvestr i další členi retra?

PS: prosím Matěji co si dělal na Silvestra?"
"škvrně na cestě, druhá","Anonymous",0,"Reflection","2025-01-22T09:39:30.517Z","","What went well 😄","škvrně na cestě, druhá hypotéka, rekonstrukce baráku. Je k diskuzi jestli je zdravé naordinovat si takový zápřah. A proč právě není, Petře?"
"Jak jde Petre rekonstrukce?","Anonymous",0,"Reflection","2025-01-22T09:36:58.325Z","","What didn't go well 😞","Jak jde Petre rekonstrukce? Uz ses to rozhodl zbourat a postavit dal od silnice?

Budes jeste nekdy normalne cvicit?"
"Situace na trhu s vývojáři","Anonymous",0,"Reflection","2025-01-21T16:09:33.488Z","","What didn't go well 😞","Situace na trhu s vývojáři není dobrá a asi bude hůř. Je čas si otevřít offline byznys? Co třeba nějaké sportoviště? "
"Sdílíme málo","Anonymous",0,"Reflection","2025-01-18T15:54:52.813Z","","What didn't go well 😞","Sdílíme málo? "
"Kubík už s Copilotem tak","Anonymous",0,"Reflection","2025-01-17T10:07:30.815Z","","What didn't go well 😞","Kubík už s Copilotem tak zlenivěl, že už mi odepisuje Suggested zprávama na Teamsech. Je to ok? 😄 "
"EPILOG: Rozdělení česka a","Anonymous",0,"Reflection","2025-01-14T07:23:59.666Z","","What went well 😄","EPILOG: Rozdělení česka a slovenska je jedna z věcí, které Klaus neposral."
"Píchat","Anonymous",0,"Reflection","2025-01-13T15:10:38.697Z","","What went well 😄","Píchat kolegyně jonebone?"
"Vykricnik","Anonymous",0,"Reflection","2025-01-13T14:57:34.032Z","","What didn't go well 😞","Vykricnik, nebo .not()?"
"Jsme","Anonymous",0,"Reflection","2025-01-13T13:00:19.924Z","","What went well 😄","Jsme live, je to k něčemu?"
"Revolut","Anonymous",0,"Reflection","2025-01-13T13:00:56.843Z","","What didn't go well 😞","Revolut vs Trading212 karta"
"Má dušan a kuba problém s","Anonymous",0,"Reflection","2025-01-13T12:59:56.511Z","","What didn't go well 😞","Má dušan a kuba problém s úrovní testosteronu po padelovém soustředění?"
"Zásilkovna","Anonymous",0,"Reflection","2025-01-13T12:58:26.649Z","","What went well 😄","Zásilkovna appreciation post"
