"reflectionGroup","author","votes","type","createdAt","discussionThread","prompt","content"
"Byl jsem na Prague Car","Anonymous",0,"Reflection","2024-10-26T16:01:54.485Z","","What didn't go well 😞","Byl jsem na Prague Car festivalu. Seděl jsem ve Fordu F-150.

Koupil bych si to auto, když se dá pořídit za 1,3 milionu? 😱"
"Německo ve třicátých letech","Anonymous",0,"Reflection","2024-10-13T18:39:46.631Z","","What didn't go well 😞","Německo ve třicátých letech 21. století bude v piči. Máme se toho bát? Nebo se přirozeně najde jiný zdroj příjmů a burstu ekonomiky? 🤔"
"Prodával jsem hodinky a","Anonymous",0,"Reflection","2024-10-13T18:39:41.526Z","","What didn't go well 😞","Prodával jsem hodinky a telefon.

Pixel 7 Pro za 4K (nový stojí 7,5k) s výpisem vad a fotkami. Ozval se týpek z Vysokého Mýta (to byl první red flag).

Nejdřív ať přijedu (říkám, že nemám auto), že dá peníze na vlak (odmítám) a nakonec přijel.

Vyskočil s dalšími dvěma cikány z auta v maskáčích. Všechno si zkoušel a našel šrám na displeji, který na fotce vidět jakože nebyl. Že prý nějaká slevička?

Dal jsem ho za 3,5k ať drží hubu a vypadne.

Druhý den sms, že chrčí repráček a oprava za 1300 (prý co s tím udělám) 😆

Že ho vrátí nebo ať zaplatím celou opravu. Říkám mu ať mě nesere, že už mě stáhl o pět set, tak jsem mu nabídl, že mu pošlu 500 a ať drží hubu. Vzal to. Tedy telefon za 3K, což je za prasklý 2 roky starý pixel víc než dobrý 😆 ALE za jakou cenu kurva. Nesnáším prodávání."
"Vlado z minule Appreciation post","Anonymous",0,"Reflection","2024-10-13T18:39:54.952Z","","What went well 😄","VLADO Z MINULE:

 

Matějova rozlučka appreciation post"
"Zbavit se fosilních paliv a","Anonymous",0,"Reflection","2024-10-13T18:39:36.577Z","","What went well 😄","Zbavit se fosilních paliv a plynu co nejdřív je potřeba, abychom se zbavili závislosti na Rusku a Saudské Arábii. Bude to dobře pro nás a zároveň tyhle velmoci, které fungují jen díky prodeji svých zdrojů půjdou konečně do prdele."
"VLADO Z MINULE:

 
krásná","Anonymous",0,"Reflection","2024-10-13T18:40:13.831Z","","What went well 😄","VLADO Z MINULE:




 

krásná benzínka, fresh corner, vzduch u stojanů, jen ty internety nešlapou"
"Terka se mě občas ptá, jestli","Anonymous",0,"Reflection","2024-10-13T18:41:53.767Z","","What went well 😄","Terka se mě občas ptá, jestli si fakt neřekneme nic o sobě. Tak se vás ptám postupně. Matěji, Kubo, Dušane, Vláďo.




Co holky/kluci? Co rodina? Co finance? A co zdravíčko - slouží?"
"Jak je v práci pro vás","Anonymous",0,"Reflection","2024-11-01T18:13:36.781Z","","What went well 😄","Jak je v práci pro vás důležitý pracovni kolektiv ? Musíte si s nimi rozumet , chodit sportovat nebo na drink, nebo vám staci ze jsou dodry skillem a budete se od nich učit Profesně?"
"Mood club, plný mladých","Anonymous",0,"Reflection","2024-11-01T18:11:07.466Z","","What didn't go well 😞","Mood club, plný mladých štětek, jen se tam chlastá, tančí, a znova dokola. Je to celkem nuda. Jak nás to mohlo v minulosti bavit?"
"single život, je to ok? Nebo","Anonymous",0,"Reflection","2024-11-01T18:09:36.458Z","","What went well 😄","single život, je to ok? Nebo už mi cinkají játra?"
